stake1uxahfadvywtcwuzxn7h5sk5mjwxug3cz2czy8pu54xes72sjfytcz,1503 AuroraAmor1213 Aquapolis168 AuroraAmor1324 Aquapolis113 AuroraAmor1442 UrsaCrater582 Aquapolis306 Aquapolis220 MagnumMaximus983 UrsaCrater406 MagnumMaximus1141 UrsaCrater666 Aquapolis287 UrsaCrater789 UrsaCrater595 AuroraAmor1205 UrsaCrater499 Aquapolis241 Aquapolis150 UrsaCrater764 Aquapolis152 UrsaCrater760 UrsaCrater434 UrsaCrater657 UrsaCrater795 MagnumMaximus965,2022-12-14T15:07:58.208522
stake1uy7fh998sjy7gysz02y3rnjzplgdc3k8yzd88spcawxsaqsferckh,Aquapolis120 Aquapolis122 Aquapolis212 Aquapolis167 Aquapolis63 Aquapolis373 AuroraAmor1214 Aquapolis231 Aquapolis206 Aquapolis266 Aquapolis186 Aquapolis338 Aquapolis149 Aquapolis70 Aquapolis170 Aquapolis263 Aquapolis269 Aquapolis153 Aquapolis181 Aquapolis393 UrsaCrater716 Aquapolis187 Aquapolis109 MagnumMaximus1003 continent1279 continent1345 continent1599 continent1817 continent1862 continent2379 continent2423 continent2496 continent319 continent516 continent612 continent912 floatingContinent1523,2022-12-14T15:07:58.208539
stake1ux65x7ytq0dxsm9q77mnw7dr9ksk3gnjrpkval4ld83mzkc4qvzlg,MagnumMaximus923 MagnumMaximus1194 MagnumMaximus898 MagnumMaximus928 AuroraAmor1265 AuroraAmor1376 MagnumMaximus812 MagnumMaximus1174 UrsaCrater507 MagnumMaximus1010 MagnumMaximus919 UrsaCrater542 MagnumMaximus977 MagnumMaximus926 AuroraAmor1268 Aquapolis79 MagnumMaximus896 AuroraAmor1433 AuroraAmor1461 Aquapolis17 MagnumMaximus1095 Aquapolis115 MagnumMaximus1188 Aquapolis260 UrsaCrater794 UrsaCrater572 Aquapolis374 MagnumMaximus1162 MagnumMaximus816 Aquapolis219 MagnumMaximus1185 AuroraAmor1207 MagnumMaximus852 MagnumMaximus927 Aquapolis311 AuroraAmor1471 MagnumMaximus1184 UrsaCrater515 UrsaCrater591 Aquapolis302 Aquapolis329 UrsaCrater558 MagnumMaximus864 UrsaCrater448 UrsaCrater646 AuroraAmor1283 UrsaCrater440 Aquapolis386 MagnumMaximus862 UrsaCrater430 AuroraAmor1482 Aquapolis250 Aquapolis236 UrsaCrater553 AuroraAmor1280 UrsaCrater514 AuroraAmor1210 Aquapolis48 AuroraAmor1257 AuroraAmor1274 MagnumMaximus935 AuroraAmor1240 AuroraAmor1498 UrsaCrater772 MagnumMaximus968 MagnumMaximus917 MagnumMaximus804 Aquapolis47 MagnumMaximus982 MagnumMaximus833 MagnumMaximus1153 AuroraAmor1532 MagnumMaximus961 AuroraAmor1452 AuroraAmor1465 MagnumMaximus952 UrsaCrater527 MagnumMaximus826 UrsaCrater583 UrsaCrater584 Aquapolis69 AuroraAmor1371 UrsaCrater485 UrsaCrater522 MagnumMaximus985 UrsaCrater500 UrsaCrater585 AuroraAmor1428 MagnumMaximus946 Aquapolis210 UrsaCrater711 AuroraAmor1326 AuroraAmor1337 AuroraAmor1418 AuroraAmor1517 UrsaCrater724 MagnumMaximus947 Aquapolis5 AuroraAmor1394 AuroraAmor1305 MagnumMaximus1167 AuroraAmor1273 AuroraAmor1414 MagnumMaximus1086 AuroraAmor1377 AuroraAmor1236 UrsaCrater727 AuroraAmor1227 AuroraAmor1361 MagnumMaximus1133 AuroraAmor1350 AuroraAmor1503 Aquapolis27 Aquapolis214 UrsaCrater554 Aquapolis203 Aquapolis88 MagnumMaximus1105 AuroraAmor1444 MagnumMaximus953 Aquapolis161 Aquapolis270 continent109 continent1134 continent1146 continent153 continent1575 continent1916 continent1970 continent1980 continent2142 continent542 continent661 continent698 continent1019 continent1098 continent1465 continent1891 continent2027 continent2268 continent2321 continent244 continent271 continent314 continent860 continent906 continent1435 continent1790 continent1863 continent193 continent1947 continent2368 continent2407 continent352 continent665 continent759 continent895 continent983 continent1159 continent1375 continent1410 continent1483 continent1708 continent1930 continent2319 continent253 continent302 continent471 continent555 continent709 continent1190 continent1655 continent1951 continent2007 continent2171 continent2196 continent2340 continent2426 continent2469 continent262 continent552 continent974 continent1032 continent293 continent843 continent980 floatingContinent1157 floatingContinent1230 floatingContinent1301 floatingContinent1451 floatingContinent1065,2022-12-14T15:07:58.208548
stake1uyutaet2vpuyc2lphnzv6d2r3sc4pa8uqatp3pmh7h45l7qgt4d7z,Aquapolis135 AuroraAmor1243 UrsaCrater412 AuroraAmor1223 AuroraAmor1284 Aquapolis126 AuroraAmor1270 AuroraAmor1479 UrsaCrater605 MagnumMaximus1183 AuroraAmor1235 AuroraAmor1231 AuroraAmor1288 Aquapolis71 MagnumMaximus875 Aquapolis265 UrsaCrater770 Aquapolis279 AuroraAmor1455 continent1230 continent1403 continent1683 continent1953 continent207 continent2074 continent2089 continent2182 continent2270 continent235 continent32 continent942 continent214 floatingContinent1141,2022-12-14T15:07:58.208553
stake1uypptpgcc44mynttplz0ad3r64u4z2z7g2zlmamh5tc6acqrdtazp,Aquapolis32 AuroraAmor1481 MagnumMaximus887 Aquapolis312 Aquapolis325 Aquapolis216 Aquapolis23 continent128 continent1469 continent1585 continent1783 continent1949 continent2048 continent2214 continent2245 continent2442 continent419 continent695 continent876 continent1101 continent117 continent2382 continent394 continent835 continent939 continent724 continent1219 floatingContinent1318,2022-12-14T15:07:58.208556
stake1u9nrvy5cazufzr004qmgfvmq0jeqcgqae4ahmm2rz6k9m8cnnqft3,UrsaCrater510 AuroraAmor1336 UrsaCrater470 MagnumMaximus1074 UrsaCrater755 AuroraAmor1435 UrsaCrater443 AuroraAmor1488 Aquapolis351 Aquapolis3 MagnumMaximus1120 Aquapolis340 MagnumMaximus1028 MagnumMaximus1115 AuroraAmor1294 Aquapolis379 AuroraAmor1206 Aquapolis254 Aquapolis331 Aquapolis49 UrsaCrater442 UrsaCrater699 UrsaCrater756 Aquapolis243 MagnumMaximus1039 UrsaCrater552 Aquapolis202 Aquapolis105 Aquapolis8 Aquapolis391 MagnumMaximus861 MagnumMaximus874 UrsaCrater775 AuroraAmor1382 MagnumMaximus1189 AuroraAmor1533 UrsaCrater793 MagnumMaximus1059 MagnumMaximus942 UrsaCrater546 MagnumMaximus1156 UrsaCrater482 Aquapolis372 AuroraAmor1445 UrsaCrater769 MagnumMaximus1149 Aquapolis128 UrsaCrater528 MagnumMaximus870 UrsaCrater786 MagnumMaximus1036 continent1544 continent1547 continent1906 continent196 continent2087 continent2115 continent2285 continent299 continent397 continent473 continent540 continent664 continent1297 continent1380 continent1834 continent197 continent2066 continent2073 continent216 continent2190 continent2417 continent392 continent48 continent783 continent1081 continent1391 continent1445 continent156 continent1739 continent1766 continent1838 continent1895 continent2156 continent2418 continent679 continent842 floatingContinent149 floatingContinent457 floatingContinent77,2022-12-14T15:07:58.208561
stake1u9edrc8q2s83dnh9ct02nwpmnk68pnf7vw5syke3qstq25s8pxcpc,MagnumMaximus1023 MagnumMaximus1186 MagnumMaximus1096 MagnumMaximus1147 MagnumMaximus1130 MagnumMaximus1007 MagnumMaximus846 UrsaCrater651 MagnumMaximus988 MagnumMaximus1032 MagnumMaximus1164 MagnumMaximus937 MagnumMaximus817 continent1165 continent1210 continent1234 continent1512 continent170 continent1735 continent208 continent2365 continent368 continent478 continent521 continent680 floatingContinent1116,2022-12-14T15:07:58.208565
stake1u8u898k59tv3tsv0mj2g3ynmld60u4lfmdj3f6p0u289jxq7200ev,UrsaCrater708 Aquapolis18 AuroraAmor1222 AuroraAmor1239 MagnumMaximus1089 Aquapolis399 Aquapolis283 AuroraAmor1329 AuroraAmor1365 Aquapolis58 UrsaCrater762 UrsaCrater409 Aquapolis108 MagnumMaximus1075 UrsaCrater705 AuroraAmor1523 MagnumMaximus894 UrsaCrater513 AuroraAmor1304 MagnumMaximus1152 MagnumMaximus866,2022-12-14T15:07:58.208569
stake1ux42tt9jpktwqzteczgrlfsdh2dv04h03g4akuj66uqkp5gd63u88,Aquapolis310 Aquapolis158 Aquapolis183 Aquapolis361 Aquapolis261 AuroraAmor1228 AuroraAmor1407 continent2390 continent1533 continent168 continent2139 continent297 continent428 continent460 continent463 continent2071,2022-12-14T15:07:58.208573
stake1uxgd7w9zq826hyngveenedkzgfs3c04q5x6adekq6cn86fse8mwml,AuroraAmor1456 MagnumMaximus1085 MagnumMaximus1060 UrsaCrater472 AuroraAmor1470 UrsaCrater424 UrsaCrater455 MagnumMaximus1076 MagnumMaximus1187 Aquapolis357 MagnumMaximus1012 AuroraAmor1420 UrsaCrater751 UrsaCrater493 UrsaCrater689 MagnumMaximus1071 Aquapolis288 MagnumMaximus1117 Aquapolis394 UrsaCrater652 AuroraAmor1380 Aquapolis94 AuroraAmor1565 UrsaCrater593 AuroraAmor1466 MagnumMaximus1179 MagnumMaximus954 MagnumMaximus1138 UrsaCrater744 MagnumMaximus1191 MagnumMaximus905 AuroraAmor1485 MagnumMaximus1140 MagnumMaximus1006 UrsaCrater682 UrsaCrater616 MagnumMaximus1180 AuroraAmor1379 Aquapolis392 Aquapolis67 continent1096 continent2049 continent920 continent301 continent537 continent2103 continent1388 continent1634 continent734 continent1138 continent24 continent1776 continent2499 continent47 continent1065 continent1148 continent1314 continent2149 continent220 continent340 continent408 continent615 continent930 continent1777,2022-12-14T15:07:58.208578
