2022-10-16T02:45:39.900565,2022-10-16T02:45:39.900565
stake1uxwarkk4fzd7uctxp9u9errppvqapj5qgc9dyylsjnqr59g5un7jk,10690.0
stake1uyff53kz8rdxh66xd0k2f7a88qp4tqetru50cq6939u9etg772c9r,12753.0
stake1uyxg698kkr0f8r0cy52gc4jzxgh62wkx8hulzprpkwx70ec09lskj,65007.0
stake1uyft8sdrn7q9ldnqswazum9pww0rdr8mlw29tvdg2r6cccgwee42h,46215.0
stake1u94r9jjgq3kj77pagetccr6jt0ma7a4p0f333fcssm0k9hclpe90a,8955.0
stake1uyq0d9ls8reu44sd9rd8vu3kt7ve2sa4vq5vrypp5dzgnfcpe0wkf,13041.0
stake1uygkux35wxnhj6jkkss3ye584h6p4z5j0su0sjmwpckj0mskvycnd,3312.0
stake1uxh6yar936h5cynmmrt5q4wsu8yy4dqcag7q5ztd9g6tgycrcr8gs,3744.0
stake1uxpslkjrp386xvruqnjf4qdctlcw08v0upezpn4zvr78c0ghr2xcv,15768.0
stake1u9zw92mdzamclmqxa5s6l0lyklc0rrcs2yd85ud6uauw56gm0sph4,1386.0
stake1uxmhttdj4qm25s6s45kqjv25l2duva7vjk8h5h88l0kknnsrpmrgt,648.0
stake1uxpkmr609y7dwww3zkgaqaa70vzn0l369knvuc9se6zl9rqdkxexf,28674.0
stake1u9z7fpzyz8epwdqe6ts2yw0rl050efar3ed0a4quqgppejct2kav9,1278.0
stake1uxfl6w3t207z5cmt78h6uvysksc4kescg6jfmjxx0x7m3nsj9cgvl,594.0
stake1uxc7l735t8uuau08xr63xxvsjy40xylr2fjlju4dgam6hpchu0hyf,3351.0
stake1uywwfg2hvt3z6fx5pv95hy4llyuj8qfrjxdmy0r2reng27cmgu396,731.0
stake1uyh5h2wr3e22hzhcaygk8v7etngtgdtrh2lv6gtlc2tgtmckf55d6,11052.0
stake1uy5qy8cfv9qu3u2m5m73mm8k7dl629shd0ln2jctktkmyqq40pket,12330.0
stake1u8aqvhx435chmy7ladue4xsfc2xwty6ydh477qv0muj2yvcd0unqk,835.0
stake1u8fq3rujdn4d9kque74zuenpwwvegff8kzc6f0yy4yw702camgjve,1890.0
stake1uytqfs29ylqmpcfxdhqfxyl4ehux4sevdjyx4x64snmfvcsc65gk4,320.0
